date,symbol,open,close,volume
2011-04-21,AAPL,50.7142868571,50.0999984285,188452600.0
2011-04-25,AAPL,50.0485725714,50.4300002857,66636500.0
2011-04-26,AAPL,50.5171432857,50.0600014285,84700000.0
2011-04-27,AAPL,50.3199997142,50.0214271428,89053300.0
2011-04-28,AAPL,49.4557151428,49.5357131428,90239800.0
2011-04-29,AAPL,49.5400008571,50.0185699999,251586300.0
2011-05-02,AAPL,49.9628562857,49.4685707142,110678400.0
2011-05-03,AAPL,49.7128562857,49.7428588571,78337000.0
2011-05-04,AAPL,49.7514267142,49.938572,97312600.0
2011-05-05,AAPL,49.7714271428,49.5357131428,83992300.0
2011-05-06,AAPL,49.9557151428,49.5228577142,70033600.0
2011-05-09,AAPL,49.6942862857,49.6571425714,51186800.0
2011-05-10,AAPL,49.8414268571,49.9214287142,70522900.0
2011-05-11,AAPL,49.8600005714,49.6042861428,84000000.0
2011-05-12,AAPL,49.445713,49.5099982857,80500000.0
2011-05-13,AAPL,49.380001,48.6428565714,81529000.0
2011-05-16,AAPL,48.4571418571,47.6142845714,112443800.0
2011-05-17,AAPL,47.4285698571,48.0200004285,113083600.0
2011-05-18,AAPL,48.0671424285,48.5528564285,83694100.0
2011-05-19,AAPL,48.8685722857,48.6471442857,65292500.0
2011-05-20,AAPL,48.5085715714,47.8885727142,84492100.0
2011-05-23,AAPL,47.1385727142,47.7714271428,95900000.0
2011-05-24,AAPL,47.9285698571,47.4557151428,80481800.0
2011-05-25,AAPL,47.6328582857,48.1114272857,73556000.0
2011-05-26,AAPL,47.9957161428,47.8571434285,55640200.0
2011-05-27,AAPL,47.8285712857,48.2014274285,50899800.0
2011-05-31,AAPL,48.7285728571,49.6899985714,104438600.0
2011-06-01,AAPL,49.8385695714,49.3585701428,138670700.0
2011-06-02,AAPL,49.5,49.4428558571,84695800.0
2011-06-03,AAPL,49.0257148571,49.0628585714,78312500.0
2011-06-06,AAPL,49.3857154285,48.2914275714,115485300.0
2011-06-07,AAPL,48.3100014285,47.4342841428,132446300.0
2011-06-08,AAPL,47.3971442857,47.4628562857,83430900.0
2011-06-09,AAPL,47.6071434285,47.3557128571,68772200.0
2011-06-10,AAPL,47.2214278571,46.5571441428,108488800.0
2011-06-13,AAPL,46.7428588571,46.6571425714,82368300.0
2011-06-14,AAPL,47.1428565714,47.4914284285,83642300.0
2011-06-15,AAPL,47.1071434285,46.6785698571,99799000.0
2011-06-16,AAPL,46.7000007142,46.4514274285,127647800.0
2011-06-17,AAPL,46.9985732857,45.7514267142,153755000.0
2011-06-20,AAPL,45.337143,45.0457152857,160161400.0
2011-06-21,AAPL,45.2400017142,46.4714278571,123345600.0
2011-06-22,AAPL,46.4514274285,46.087143,97645800.0
2011-06-23,AAPL,45.5628585714,47.318573,139939800.0
2011-06-24,AAPL,47.3385695714,46.6214294285,109951800.0
2011-06-27,AAPL,46.7985725714,47.4342841428,84953400.0
2011-06-28,AAPL,47.6642875714,47.8942871428,73574900.0
2011-06-29,AAPL,48.0057144285,47.7200012857,88136300.0
2011-06-30,AAPL,47.8142852857,47.952858,80738700.0
2011-07-01,AAPL,47.9928588571,49.0371437142,108828300.0
2011-07-05,AAPL,49.0,49.9185714285,88763500.0
2011-07-06,AAPL,49.8499984285,50.2514267142,111156500.0
2011-07-07,AAPL,50.6671409999,51.0285721428,99915900.0
2011-07-08,AAPL,50.4771422857,51.3871421428,122408300.0
2011-07-11,AAPL,50.9057159999,50.5714301428,110668600.0
2011-07-12,AAPL,50.5042838571,50.5357131428,112902300.0
2011-07-13,AAPL,51.1899985714,51.1457138571,97909700.0
2011-07-14,AAPL,51.5728568571,51.1100005714,107633400.0
2011-07-15,AAPL,51.5957145714,52.1314277142,121116800.0
2011-07-18,AAPL,52.2042847142,53.4000015714,143163300.0
2011-07-19,AAPL,53.9999999999,53.8357124285,204786400.0
2011-07-20,AAPL,56.5885695714,55.2714271428,235335100.0
2011-07-21,AAPL,55.2785721428,55.3271445714,131633600.0
2011-07-22,AAPL,55.4742851428,56.1857147142,129182200.0
2011-07-25,AAPL,55.7642859999,56.9285698571,147451500.0
2011-07-26,AAPL,57.1428565714,57.6300009999,119145600.0
2011-07-27,AAPL,57.2271422857,56.0842857142,164831100.0
